id,Product,Facility,Year,Season,Energy_Use_kWh,Water_Use_L,CO2_Emissions_kg,Waste_kg,Units_Produced,CO2_per_unit,Energy_per_unit,Water_per_unit,Waste_per_unit,Efficiency_Score,Product_Category
1,Whole Milk,Copenhagen Plant,2021,Winter,2720,9227,175,24,1267,0.14,2.15,7.28,0.02,2.67,Milk Products
2,Whole Milk,Aarhus Plant,2021,Winter,2889,9801,186,26,1290,0.14,2.24,7.6,0.02,2.64,Milk Products
3,Whole Milk,Odense Plant,2021,Winter,2876,9757,185,26,1232,0.15,2.33,7.92,0.02,2.61,Milk Products
4,Whole Milk,Aalborg Plant,2021,Winter,3002,10187,193,27,1237,0.16,2.43,8.24,0.02,2.57,Milk Products
5,Skim Milk,Copenhagen Plant,2021,Winter,2607,9223,165,22,1199,0.14,2.17,7.69,0.02,2.67,Milk Products
6,Skim Milk,Aarhus Plant,2021,Winter,2259,7993,143,19,995,0.14,2.27,8.03,0.02,2.63,Milk Products
7,Skim Milk,Odense Plant,2021,Winter,2800,9909,178,24,1185,0.15,2.36,8.36,0.02,2.6,Milk Products
8,Skim Milk,Aalborg Plant,2021,Winter,2762,9774,175,23,1124,0.16,2.46,8.7,0.02,2.56,Milk Products
9,Organic Milk,Copenhagen Plant,2021,Winter,3034,9955,199,27,927,0.21,3.27,10.74,0.03,2.27,Milk Products
10,Organic Milk,Aarhus Plant,2021,Winter,2870,9418,188,25,841,0.22,3.41,11.2,0.03,2.22,Milk Products
11,Organic Milk,Odense Plant,2021,Winter,2913,9559,191,25,819,0.23,3.56,11.67,0.03,2.17,Milk Products
12,Organic Milk,Aalborg Plant,2021,Winter,3245,10647,213,28,878,0.24,3.7,12.13,0.03,2.12,Milk Products
13,Cheddar Cheese,Copenhagen Plant,2021,Winter,1850,3532,235,38,347,0.68,5.33,10.18,0.11,1.4,Cheese Products
14,Cheddar Cheese,Aarhus Plant,2021,Winter,2181,4163,278,45,392,0.71,5.56,10.62,0.11,1.32,Cheese Products
15,Cheddar Cheese,Odense Plant,2021,Winter,2113,4033,269,43,365,0.74,5.79,11.05,0.12,1.23,Cheese Products
16,Cheddar Cheese,Aalborg Plant,2021,Winter,2243,4282,285,46,372,0.77,6.03,11.51,0.12,1.14,Cheese Products
17,Mozzarella Cheese,Copenhagen Plant,2021,Winter,1986,3784,251,40,432,0.58,4.6,8.76,0.09,1.69,Cheese Products
18,Mozzarella Cheese,Aarhus Plant,2021,Winter,2098,3996,265,42,437,0.61,4.8,9.14,0.1,1.61,Cheese Products
19,Mozzarella Cheese,Odense Plant,2021,Winter,1960,3734,247,39,392,0.63,5.0,9.53,0.1,1.53,Cheese Products
20,Mozzarella Cheese,Aalborg Plant,2021,Winter,2394,4560,302,48,460,0.66,5.2,9.91,0.1,1.46,Cheese Products
21,Blue Cheese,Copenhagen Plant,2021,Winter,2093,3924,279,48,265,1.05,7.9,14.81,0.18,0.4,Cheese Products
22,Blue Cheese,Aarhus Plant,2021,Winter,2394,4489,319,55,291,1.1,8.23,15.43,0.19,0.27,Cheese Products
23,Blue Cheese,Odense Plant,2021,Winter,2432,4561,324,56,284,1.14,8.56,16.06,0.2,0.14,Cheese Products
24,Blue Cheese,Aalborg Plant,2021,Winter,2484,4657,331,57,279,1.19,8.9,16.69,0.2,0.01,Cheese Products
25,Cream Cheese,Copenhagen Plant,2021,Winter,1661,3322,210,33,428,0.49,3.88,7.76,0.08,1.96,Cheese Products
